Year,Artist,Song Title,Reason
2019,City Girls,Twerk,Language
2021,CJ,Whoopty,Language
2021,"Clean Bandit, Mabel",Tick Tock (feat. 24kGoldn),Sexual Content
2010,Cledus T.Judd,Tiger by the Tail,Language / Content
2012,Cledus T.Judd,Double D Cups,Sexual Content
2013,Cledus T.Judd,Honeymoon,Sexual Content
2020,Code Orange,Let Me In [The Fiend Bray Wyatt],Violence
2014,Cody Simpson,Surfboard,Sexual Content
2016,Coldplay ft. Beyonce,Hymn For The Weekend,Drinking / Drugs / Partying
2014,Cole Swindell,Chillin' It,Drinking / Drugs / Partying
2021,Conan Gray,Maniac,Drinking / Drugs / Partying
2021,Cordae,Gifted (feat. Roddy Ricch),Language
2021,"CORPSE, Savage Ga$p",E-GIRLS ARE RUINING MY LIFE!,Language
2016,Craig David ft. Big Narstie,When the bassline drops,Drinking / Drugs / Partying
"","Cult, the",Love Removal Machine,Sexual Content
2021,Curtis Waters,Stunnin' (feat. Harm Franklin),Language / Content
Year,Artist,Song Title,Reason
2016,D.R.A.M. feat. Lil Yachty,Broccoli,Language
2021,DaBaby,Ball If I Want To,Language
2021,DaBaby,Find My Way,Language
2021,DaBaby,Pick Up (feat. Quavo),Language
2021,DaBaby,Red Light Green Light,Language
2019,DaBaby,Babysitter,Language
2019,DaBaby,Bop,Language
2019,DaBaby,Suge,Language
2019,DaBaby,Vibez,Language
2021,DaBaby,Blind (feat. Young Thug),Language
2021,DaBaby,Jump (feat. YoungBoy Never Broke Again),Language
2021,DaBaby,Blame it on Baby,Language / Content
2021,DaBaby,Lightskin sh*t (feat. Future & jetsonmade),Language / Content
2021,DaBaby,Rockstar (feat. Roddy Ricch),Language / Content
2021,DaBaby,Toes (feat. Lil Baby & Moneybagg Yo),Language / Content
2019,Daddy Yankee,Con Calma,Sexual Content
2014,Daddy's Cash,This Is My Party,Language
2013,Daft Punk feat. Pharrell Williams,Get Lucky,Sexual Content
2018,Dan + Shay,Tequila,Drinking / Drugs / Partying
2021,Dave,Verdansk,Language
2021,Dave,Clash (feat. Stormzy),Language / Content
2011,David Guetta feat. Flo Rida and Nicki Minaj,Where Them Girls At,Drinking / Drugs / Partying
2011,David Guetta ft Rihanna,Who's That Chick,Drinking / Drugs / Partying
2015,"David Guetta ft. Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama,Sexual Content
2014,David Nail,Whatever she's Got,Sexual Content
2015,Dawin,Dessert,Drinking / Drugs / Partying
2015,Daya,Hide Away,Sexual Content
2019,D-Block Europe,Nookie ft. Lil Baby,Language
2019,D-Block Europe,Playing for Keeps,Language
2021,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,Language / Content
2021,Demi Lovato,Dancing With The Devil Drinking / Drugs / Partying
2021,Demi Lovato,I Love Me Language
2014,Demi Lovato,Neon Lights Sexual Content
2018,Demi Lovato,Tell Me You Love Me Sexual Content
2016,Demi Lovato,Body Say Sexual Content
2015,Demi Lovato,Cool for the Summer Sexual Content
2016,Desiigner,Panda Language
2016,Desiigner,Tiimmy Turner Language
2013,Destiny's Child,Nuclear Language
2011,Dev,In The Dark Sexual Content
